name,cls,normal_var,roughness_std,box_flip,box_psnr,box_proc_s,lcz_flip,lcz_psnr,lcz_proc_s,nat_flip,nat_psnr,nat_proc_s,rou_flip,rou_psnr,rou_proc_s
Bricks104_2K-PNG,GEOMETRIC,0.013905167579650879,0.16860823333263397,0.0069826851395191625,51.89957586080514,0.08,0.008675596007378772,47.76574187230865,0.12,0.005235764263488818,52.656897482317426,19.7,0.005235764263488818,52.656897482317426,18.41
ChristmasTreeOrnament019_2K-PNG,METAL_FLAT,0.000592350959777832,0.03635698929429054,0.0037016973275285636,40.74293834700883,0.19,0.0037492687283702253,40.90396622841841,0.2,0.007306860428343498,40.25034446083434,36.78,0.0037016973275285636,40.74293834700883,0.21
Metal007_2K-PNG,METAL_FLAT,0.0007889270782470703,0.03929944708943367,0.012404416193930956,38.07003799114907,0.17,0.012162214813088212,37.76794283734282,0.18,0.011132498417055103,38.13899578239056,36.3,0.012404416193930956,38.07003799114907,0.23
Metal049A_2K-PNG,CONSTANT,2.5510787963867188e-05,0.006718935910612345,0.0002557901380697558,79.12560588493608,0.16,0.0002528540449588945,78.24623920096526,0.18,0.0003955444622363302,71.56055236890876,36.45,0.0002557901380697558,79.12560588493608,0.28
Metal053C_2K-PNG,METAL_FLAT,0.00015467405319213867,0.1760171502828598,0.013229773358034436,42.4994986528113,0.17,0.012415582881658338,41.53024283722381,0.2,0.012970091374882031,40.90621282403908,36.5,0.013229773358034436,42.4994986528113,0.28
